ID,Title,Type,Year,Release Date,Rating,Genres,Source,Trailer URL,Poster URL,Description,Now Playing
tmdb-movie-1537690,Busted Water Pipes,movie,2026,2026-01-30,TBD,"Comedy, Crime",In Theatres,https://www.youtube.com/watch?v=YJizr6Sgri4,https://image.tmdb.org/t/p/w500/kDsSmwtX8N0wmxRRdxjgYHenFNe.jpg,"A crime-fighting cop maintains a zero-crime rate and faces job loss, so he decides to fabricate a major case, unaware that actual grave robbers are targeting a treasure-filled tomb located directly be...",Cineplex
tmdb-movie-1339173,Honey Bunch,movie,2026,2026-01-23,TBD,"Drama, Thriller",In Theatres,https://www.youtube.com/watch?v=7bG6ymmZM7s,https://image.tmdb.org/t/p/w500/rR6zS2sPpcjND92cCLmsuMNok7M.jpg,"Diana's husband is taking her to an experimental trauma facility deep in the wilderness, but she can't remember why... As her memories begin to creep back in so do some unwelcome sinister truths about...",Cineplex
tmdb-movie-1263012,Dead Man's Wire,movie,2026,2026-01-16,6.3,"Crime, Drama",In Theatres,https://www.youtube.com/watch?v=0dTPOrJXqOw,https://image.tmdb.org/t/p/w500/71FPde8V7DbnAHgUZfwrpxPOFG6.jpg,"In 1977, former real estate developer Tony Kiritsis puts a dead man's switch on himself and the mortgage banker who did him wrong, demanding $5 million and a personal apology.",Cineplex
tmdb-movie-766520,Rosemead,movie,2026,2026-01-09,7.0,Drama,In Theatres,https://www.youtube.com/watch?v=IwQy6jV1QCM,https://image.tmdb.org/t/p/w500/uVilyfKrB5ZkhXh7MMaIaevzueR.jpg,"In a race against time, an ailing woman discovers her teenage son's violent obsessions and must go to great lengths to protect him, and possibly others, in this portrait of a Chinese American family. ...",Cineplex
tmdb-movie-524635,The Chronology of Water,movie,2026,2026-01-16,6.9,Drama,In Theatres,https://www.youtube.com/watch?v=OycsHnfoVz0,https://image.tmdb.org/t/p/w500/a0myciW2wnVBOB1fnHLUOVgX0fD.jpg,"Growing up in an environment torn apart by violence and alcohol, a young woman finds her voice through the written word and her salvation as a swimmer.",Cineplex
tmdb-movie-1403189,Follies,movie,2026,2026-01-30,TBD,"Comedy, Romance",In Theatres,https://www.youtube.com/watch?v=w1ZfKWzpTt4,https://image.tmdb.org/t/p/w500/8gPI34eVTkBXLXDFBQJbDeAOvsP.jpg,"François and Julie, together for 16 years and parents of two children, can no longer connect intimately. They decide to open up their relationship in order to engage in sexual follies that will allow ...",Cineplex
tmdb-movie-1422562,The Moment,movie,2026,2026-02-06,4.0,"Drama, Comedy, Music",In Theatres,https://www.youtube.com/watch?v=2oiLhpZp7sY,https://image.tmdb.org/t/p/w500/txnHhq3GA1zDxZQMk2igq9CyA8v.jpg,"A rising pop sensation navigates fame and industry pressures while preparing for her arena tour debut, revealing the transformation of underground culture into mainstream success.",
tmdb-movie-1445363,EPiC: Elvis Presley in Concert,movie,2026,2026-02-20,TBD,"Music, Documentary",In Theatres,https://www.youtube.com/watch?v=2s_dCvUgOBI,https://image.tmdb.org/t/p/w500/433YxgwVpX8sUPbqzjTAQjLkPX0.jpg,"A mix of a documentary and concert film made using unused footage from Elvis: That's the Way It Is, the film of Elvis' legendary 1970 Summer Festival in Las Vegas and Elvis's road concert film from tw...",
tmdb-movie-1276521,Charlie the Wonderdog,movie,2026,2026-01-16,TBD,"Action, Animation, Adventure, Comedy",In Theatres,https://www.youtube.com/watch?v=uUDfO0Q4sog,https://image.tmdb.org/t/p/w500/whvkL0wzxgKmVbaPontq9NlVd5z.jpg,"Timid nine year old Danny teams up with his beloved family dog Charlie, who gets abducted by aliens and returns with superpowers, to thwart a plan by the neighbor's sinister cat Puddy to destroy human...",Cineplex
tmdb-movie-1432547,ALL YOU NEED IS KILL,movie,2026,2026-01-16,6.0,"Animation, Action, Mystery, Sci-Fi",In Theatres,https://www.youtube.com/watch?v=0YpXN40vIxM,https://image.tmdb.org/t/p/w500/kznh3ACnXYVyyAYes7JN6i1wy2d.jpg,"When a massive alien flower known as ""Darol"" unexpectedly erupts in a deadly event, unleashing monstrous creatures that decimate the population of Japan, Rita is caught in the destruction—and killed. ...",Cineplex
tmdb-movie-1432605,My Father's Shadow,movie,2026,2026-02-06,8.0,"Drama, History",In Theatres,https://www.youtube.com/watch?v=50ICTaEuQxg,https://image.tmdb.org/t/p/w500/aLQYyqWlIBBU3L8L84txbh0x1nq.jpg,"Two young brothers explore Lagos with their estranged father during the 1993 Nigerian election crisis, witnessing both the city's magnitude and their father's daily struggles as political unrest threa...",
tmdb-movie-1458322,Two Sleepy People,movie,2026,2026-01-23,TBD,"Romance, Comedy, Drama",In Theatres,https://www.youtube.com/watch?v=xI3pH4X1ZcU,https://image.tmdb.org/t/p/w500/5EjVkMVZroBXTgDFdkW27NS6CD9.jpg,"Two Sleepy People is a story about two coworkers who, after taking a new line of melatonin gummies, are trapped in the same dream every night.",Cineplex
tmdb-movie-1309725,The Richest Woman in the World,movie,2026,2026-01-02,5.9,"Drama, Comedy",In Theatres,https://www.youtube.com/watch?v=w0SzsfPzB7g,https://image.tmdb.org/t/p/w500/sxaMtiQLgUhMbvuSxNo5BZZ7EVs.jpg,An elderly billionaire woman gives hundreds of millions of euros to a younger gay artist she is close to. Her daughter files a complaint for abuse of a vulnerable person and a scandal erupts.,Cineplex
m-2026-hot-new-this-week,Hot & New This Week,movie,2026,2026-01-28,TBD,Drama,In Theatres,,https://image.tmdb.org/t/p/w500/placeholder.jpg,Featured trailer — new this week.,
m-2026-iron-lung,Iron Lung,movie,2026,2026-01-30,TBD,"Horror, Sci-Fi, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/ironlungposter.jpg,"Based on the cult classic indie game, a prisoner is sent into an ocean of blood on a desolate moon in a leaky submarine.",
m-2026-shelter,Shelter,movie,2026,2026-01-30,TBD,"Action, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/shelter2026.jpg,A survival thriller following a family trapped in an underground bunker as the world above collapses.,
m-2026-send-help,Send Help,movie,2026,2026-01-30,TBD,"Horror, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/sendhelp2026.jpg,A group of friends on a remote island find themselves hunted by an unknown entity after sending a distress signal.,
m-2026-bone-temple,28 Years Later: The Bone Temple,movie,2026,2026-01-16,TBD,"Horror, Action, Sci-Fi",In Theatres,,https://image.tmdb.org/t/p/w500/28yearslaterbone.jpg,"The latest chapter in the post-apocalyptic saga, exploring a new community's struggle for survival.",
m-2026-zootopia-2,Zootopia 2,movie,2026,2026-01-28,TBD,"Animation, Adventure, Comedy",In Theatres,,https://image.tmdb.org/t/p/w500/zootopia2poster.jpg,Judy Hopps and Nick Wilde return for a new mystery in the sprawling city of Zootopia.,
m-2026-marty-supreme,Marty Supreme,movie,2026,2026-01-28,TBD,"Drama, Biography",In Theatres,,https://image.tmdb.org/t/p/w500/martysupreme.jpg,A biographical drama about the life and career of a legendary ping-pong player.,
m-2026-housemaid,The Housemaid,movie,2026,2026-01-28,TBD,"Thriller, Drama",In Theatres,,https://image.tmdb.org/t/p/w500/housemaidposter.jpg,A psychological thriller about a housemaid who becomes entangled in the secrets of the wealthy family she works for.,
m-2026-mercy,Mercy,movie,2026,2026-01-23,TBD,"Action, Sci-Fi, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/mercy2026poster.jpg,A sci-fi action thriller about a detective who discovers a conspiracy involving advanced technology.,
m-2026-return-silent-hill,Return to Silent Hill,movie,2026,2026-01-23,TBD,"Horror, Mystery",In Theatres,,https://image.tmdb.org/t/p/w500/returnsilenthill.jpg,A man returns to the mysterious town of Silent Hill to find his missing love.,
m-2026-charlie-wonderdog,Charlie the Wonderdog,movie,2026,2026-01-16,TBD,"Comedy, Family",In Theatres,,https://image.tmdb.org/t/p/w500/charliewonderdog.jpg,A family comedy about a heroic dog who becomes a local sensation after saving a group of children.,
m-2026-dead-mans-wire,Dead Man's Wire,movie,2026,2026-01-16,TBD,"Crime, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/deadmanswire.jpg,A crime thriller about a heist gone wrong and the deadly consequences that follow.,
m-2026-hamnet,Hamnet,movie,2026,2026-01-28,TBD,"Drama, History",In Theatres,,https://image.tmdb.org/t/p/w500/hamnetposter.jpg,"A historical drama about the short life of William Shakespeare's only son, Hamnet, and the impact of his death on his parents.",
m-2026-song-sung-blue,Song Sung Blue,movie,2026,2026-01-28,TBD,"Drama, Music, Romance",In Theatres,,https://image.tmdb.org/t/p/w500/songsungblue.jpg,A biographical musical drama about a couple who form a Neil Diamond tribute band.,
m-2025-spongebob-squarepants,The SpongeBob Movie: Search for SquarePants,movie,2025,2025-12-19,TBD,"Animation, Adventure, Family",In Theatres,,https://image.tmdb.org/t/p/w500/spongebob2025.jpg,SpongeBob and his friends embark on an epic quest to find him after he goes missing from Bikini Bottom.,
m-2026-testament-ann-lee,The Testament of Ann Lee,movie,2026,2026-01-16,TBD,"Drama, History",In Theatres,,https://image.tmdb.org/t/p/w500/testamentannlee.jpg,A historical drama exploring the life and spiritual journey of the founder of the Shakers.,
m-2026-wicked-for-good,Wicked: For Good,movie,2026,2026-01-28,TBD,"Documentary, Music",In Theatres,,https://image.tmdb.org/t/p/w500/wickedforgood.jpg,A documentary or special screening related to the making of the Wicked movies.,
m-2026-dracula,Dracula,movie,2026,2026-02-06,TBD,"Horror, Fantasy, Drama",In Theatres,,https://image.tmdb.org/t/p/w500/dracula2026.jpg,"Luc Besson's take on the classic vampire tale, focusing on the dark and tragic origins of the count.",
m-2026-strangers-chapter-3,The Strangers: Chapter 3,movie,2026,2026-02-06,TBD,"Horror, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/strangers3.jpg,"The terrifying conclusion to the trilogy, as the masked killers face off against their survivors.",
m-2026-clika,Clika,movie,2026,2026-01-23,TBD,Drama,In Theatres,,https://image.tmdb.org/t/p/w500/clikaposter.jpg,A drama exploring the lives of a group of teenagers navigating the complexities of modern social circles.,
m-2026-primate,Primate,movie,2026,2026-01-09,TBD,"Sci-Fi, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/primate2026.jpg,A sci-fi thriller about a breakthrough in primate intelligence that leads to unintended consequences.,
m-2025-14,Five Nights at Freddy's 2,movie,2025,2025-12-05,TBD,"Horror, Mystery, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/fnaf2fnaf2fnaf2fnaf.jpg,"The sequel to the horror hit, bringing more animatronic terror to the big screen.",
m-2025-15,Wicked: Part Two,movie,2025,2025-11-26,TBD,"Musical, Fantasy, Drama",In Theatres,,https://image.tmdb.org/t/p/w500/wicked2wicked2wicked.jpg,The conclusion of the epic musical saga starring Cynthia Erivo and Ariana Grande.,
m-2025-16,Lilo & Stitch,movie,2025,2025-05-23,TBD,"Adventure, Family, Sci-Fi",In Theatres,,https://image.tmdb.org/t/p/w500/liloandstitchlive.jpg,Live-action adaptation of the beloved story about a girl and her blue alien friend.,
m-2025-17,Saw XI,movie,2025,2025-09-26,TBD,"Horror, Mystery, Thriller",In Theatres,,https://image.tmdb.org/t/p/w500/saw11saw11saw11saw11.jpg,Jigsaw's twisted games continue in the eleventh installment of the horror franchise.,
tv-2025-12,Squid Game Season 2,tv,2025,2025-01-01,TBD,"Thriller, Drama, Action",Netflix,,https://image.tmdb.org/t/p/w500/squidgame2squid.jpg,Player 456 returns to the games with a newfound purpose to dismantle them.,
tv-2025-13,Wednesday Season 2,tv,2025,2025-10-01,TBD,"Comedy, Fantasy, Mystery",Netflix,,https://image.tmdb.org/t/p/w500/wednesday2wednesday.jpg,Wednesday Addams returns to Nevermore Academy for more mystery and mayhem.,
